DateofSale(yyyy-mm-dd),Address,PostalCode,County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,PropertySizeDescription
2017-08-01,"apartment 27, galway bay sea view apts, salthill",,Galway,90575.0,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2017-08-28,"38a lr beechwood ave, ranelagh, dublin 6",Dublin 6,Dublin,515000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-06-17,"4 ard na greine, lis na dara, dundalk",,Louth,305785.12,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
2020-12-18,"1 cathedral view court, off new st, dublin 8",Dublin 8,Dublin,345000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-02-08,"190 ardmore dr, artane, dublin 5",Dublin 5,Dublin,390000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-01-16,"37 wood dale close, ballycullen, dublin 24",Dublin 24,Dublin,372000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-07-21,"47 bramble rise, killynebber, cavan",,Cavan,119000.0,No,Yes,New Dwelling house /Apartment,
2012-05-02,"apartment 3, castlepark court, dalkey",,Dublin,233481.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2010-04-29,"6  glen corrin, watergrasshill",,Cork,298347.1,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
2016-10-17,"colleras, goleen, cork",,Cork,400000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-07-30,"ballydarton, fenagh, country carlow",,Carlow,119000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-01-16,"8 the strand, castlecove, inniscrone",,Sligo,60000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-09-21,"8 annally court, longford town, longford",,Longford,50000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-12-20,"24 avenue grove, the avenue, gorey",,Wexford,114537.44,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2016-03-08,"corbally, knockdoe, galway",,Galway,245000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-05-30,"42 cois glaisin walk, cois glaisin, johnstown",,Meath,325000.0,No,Yes,New Dwelling house /Apartment,
2016-04-07,"70 cherrywood dr, clondalkin, dublin 22",Dublin 22,Dublin,185000.0,No,No,Second-Hand Dwelling house /Apartment,
