DateofSale(yyyy-mm-dd),Address,PostalCode,County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,PropertySizeDescription,CleanedPrice(€),Town,StockPrice,Population,quarter,QuarterNumber
2017-08-01,"['apartment 27', ' galway bay sea view apts', ' salthill']",,Galway,90575.0,No,No,New Dwelling house /Apartment,between 38 and 125 sq metres,90574.99999999996,,2476.35,,2017Q3,3.0
2017-08-28,"['38a lr beechwood ave', ' ranelagh', ' dublin 6']",Dublin 6,Dublin,515000.0,No,No,Second-Hand Dwelling house /Apartment,,515000.00000000047,,2444.24,,2017Q3,3.0
2010-06-17,"['4 ard na greine', ' lis na dara', ' dundalk']",,Louth,347066.11,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,347066.1100000002,Dundalk,1116.04,39004.0,2010Q2,2.0
2020-12-18,"['1 cathedral view court', ' off new st', ' dublin 8']",Dublin 8,Dublin,345000.0,No,No,Second-Hand Dwelling house /Apartment,,345000.00000000006,,3709.41,,2020Q4,4.0
2019-02-08,"['190 ardmore dr', ' artane', ' dublin 5']",Dublin 5,Dublin,390000.0,No,No,Second-Hand Dwelling house /Apartment,,390000.0,,2707.88,,2019Q1,1.0
2018-01-16,"['37 wood dale close', ' ballycullen', ' dublin 24']",Dublin 24,Dublin,372000.0,No,No,Second-Hand Dwelling house /Apartment,,372000.0000000001,,2776.42,,2018Q1,1.0
2020-07-21,"['47 bramble rise', ' killynebber', ' cavan']",,Cavan,135065.0,No,Yes,New Dwelling house /Apartment,,135064.99999999997,Cavan,3257.3,10914.0,2020Q3,3.0
2012-05-02,"['apartment 3', ' castlepark court', ' dalkey']",,Dublin,265000.93,No,Yes,New Dwelling house /Apartment,between 38 and 125 sq metres,265000.92999999993,,1402.31,,2012Q2,2.0
2010-04-29,"['6  glen corrin', ' watergrasshill']",,Cork,338623.96,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,338623.9600000003,,1206.78,,2010Q2,2.0
2016-10-17,"['colleras', ' goleen', ' cork']",,Cork,400000.0,No,No,Second-Hand Dwelling house /Apartment,,400000.0000000002,Cork,2126.5,208669.0,2016Q4,4.0
2021-07-30,"['ballydarton', ' fenagh', ' country carlow']",,Carlow,119000.0,No,No,Second-Hand Dwelling house /Apartment,,119000.0000000001,,4395.26,,2021Q3,3.0
2014-01-16,"['8 the strand', ' castlecove', ' inniscrone']",,Sligo,60000.0,No,No,Second-Hand Dwelling house /Apartment,,60000.00000000002,,1845.89,,2014Q1,1.0
2021-09-21,"['8 annally court', ' longford town', ' longford']",,Longford,50000.0,No,No,Second-Hand Dwelling house /Apartment,,50000.00000000001,Small Towns,4354.18,,2021Q3,3.0
2011-12-20,"['24 avenue grove', ' the avenue', ' gorey']",,Wexford,129999.99,No,Yes,New Dwelling house /Apartment,between 38 and 125 sq metres,129999.9900000001,Gorey,1241.3,9822.0,2011Q4,4.0
2016-03-08,"['corbally', ' knockdoe', ' galway']",,Galway,245000.0,No,No,Second-Hand Dwelling house /Apartment,,244999.99999999985,Galway,1979.26,79934.0,2016Q1,1.0
2019-05-30,"['42 cois glaisin walk', ' cois glaisin', ' johnstown']",,Meath,368875.0,No,Yes,New Dwelling house /Apartment,,368875.00000000006,,2788.86,,2019Q2,2.0
2016-04-07,"['70 cherrywood dr', ' clondalkin', ' dublin 22']",Dublin 22,Dublin,185000.0,No,No,Second-Hand Dwelling house /Apartment,,185000.0000000001,,2041.91,,2016Q2,2.0
2017-10-25,"['117 hunters green', ' pollerton', ' carlow']",,Carlow,162000.0,No,No,Second-Hand Dwelling house /Apartment,,161999.99999999988,Carlow,2557.15,24272.0,2017Q4,4.0
2012-12-20,"['48 silken vale', ' maynooth']",,Kildare,205000.0,No,No,Second-Hand Dwelling house /Apartment,,205000.0,,1443.69,,2012Q4,4.0
2019-07-08,"['nicholastown', ' togher', ' drogheda']",,Louth,123500.0,No,No,Second-Hand Dwelling house /Apartment,,123500.0000000001,Drogheda,2975.95,40956.0,2019Q3,3.0
2019-05-02,"['harvest', ' drominboy lower', ' lisnagry']",,Limerick,640000.0,No,No,Second-Hand Dwelling house /Apartment,,639999.9999999998,,2917.52,,2019Q2,2.0
2016-08-08,"['46 thornfield sq', ' clondalkin', ' dublin']",Dublin 22,Dublin,95000.0,No,No,Second-Hand Dwelling house /Apartment,,95000.00000000006,Dublin,2180.89,1173179.0,2016Q3,3.0
2014-03-28,"['aghavilla', ' carrigallen', ' leitrim']",,Leitrim,32000.0,No,No,Second-Hand Dwelling house /Apartment,,32000.000000000007,,1857.62,,2014Q1,1.0
2015-12-17,"['no. 15 the meadows', ' cahereen heights', ' castleisland']",,Kerry,68100.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,68099.99999999994,,2041.89,,2015Q4,4.0
2018-12-20,"['1 ardkeen', ' dunbar road', ' wicklow town']",,Wicklow,300000.0,No,No,Second-Hand Dwelling house /Apartment,,299999.9999999999,,2467.42,,2018Q4,4.0
