"Statistic","CensusYear","Alphabetical List of Towns","UNIT","VALUE"
"Total Population (Number)","2016","Abbeydorney, Kerry","Number","418"
"Total Population (Number)","2016","Abbeyfeale, Limerick","Number","2023"
"Total Population (Number)","2016","Abbeyknockmoy, Galway","Number","262"
"Total Population (Number)","2016","Abbeyleix, Laois","Number","1770"
"Total Population (Number)","2016","Adamstown, Wexford","Number","293"
"Total Population (Number)","2016","Adare, Limerick","Number","1129"
"Total Population (Number)","2016","Aghada-Farsid-Rostellan, Cork","Number","1030"
"Total Population (Number)","2016","Aglish, Waterford","Number","333"
"Total Population (Number)","2016","Ahascragh, Galway","Number","195"
"Total Population (Number)","2016","Ailt an Chorráin, Donegal","Number","304"
"Total Population (Number)","2016","Allenwood, Kildare","Number","981"
"Total Population (Number)","2016","Anagaire, Donegal","Number","236"
"Total Population (Number)","2016","An Bun Beag-Doirí Beaga, Donegal","Number","1491"
"Total Population (Number)","2016","An Charraig, Donegal","Number","265"
"Total Population (Number)","2016","An Cheathrú Rua, Galway","Number","781"
"Total Population (Number)","2016","An Clochán Liath, Donegal","Number","1164"
"Total Population (Number)","2016","An Daingean, Kerry","Number","2050"
"Total Population (Number)","2016","An Fál Carrach, Donegal","Number","764"
"Total Population (Number)","2016","Annacotty, Limerick","Number","2930"
"Total Population (Number)","2016","Annagassan, Louth","Number","201"
"Total Population (Number)","2016","Annaghdown, Galway","Number","198"
"Total Population (Number)","2016","Annascaul, Kerry","Number","318"
"Total Population (Number)","2016","Annayalla, Monaghan","Number","228"
"Total Population (Number)","2016","An Rinn, Waterford","Number","499"
"Total Population (Number)","2016","An Spidéal, Galway","Number","237"
"Total Population (Number)","2016","Ardagh, Limerick","Number","266"
"Total Population (Number)","2016","Ardara, Donegal","Number","732"
"Total Population (Number)","2016","Ardee, Louth","Number","4928"
"Total Population (Number)","2016","Ardfert, Kerry","Number","749"
"Total Population (Number)","2016","Ardfinnan, South Tipperary","Number","899"
"Total Population (Number)","2016","Ardmore, Waterford","Number","434"
"Total Population (Number)","2016","Ardnacrusha (Castlebank), Clare","Number","1383"
"Total Population (Number)","2016","Ardskeagh, Clare","Number","289"
"Total Population (Number)","2016","Arklow, Wicklow","Number","13163"
"Total Population (Number)","2016","Arthurstown, Wexford","Number","121"
"Total Population (Number)","2016","Arva, Cavan","Number","411"
"Total Population (Number)","2016","Ashbourne, Meath","Number","12679"
"Total Population (Number)","2016","Ashford, Wicklow","Number","1425"
"Total Population (Number)","2016","Askeaton, Limerick","Number","1137"
"Total Population (Number)","2016","Athboy, Meath","Number","2445"
"Total Population (Number)","2016","Athea, Limerick","Number","369"
"Total Population (Number)","2016","Athenry, Galway","Number","4445"
"Total Population (Number)","2016","Athgarvan, Kildare","Number","1176"
"Total Population (Number)","2016","Athleague, Roscommon","Number","248"
"Total Population (Number)","2016","Athlone, Westmeath","Number","21349"
"Total Population (Number)","2016","Athy, Kildare","Number","9677"
"Total Population (Number)","2016","Aughnacliffe, Longford","Number","177"
"Total Population (Number)","2016","Aughrim, Wicklow","Number","1442"
"Total Population (Number)","2016","Avoca, Wicklow","Number","771"
"Total Population (Number)","2016","Baile an Droichid, Donegal","Number","170"
"Total Population (Number)","2016","Bailieborough, Cavan","Number","2683"
"Total Population (Number)","2016","Baile Chláir, Galway","Number","1248"
"Total Population (Number)","2016","Baile Mhic Íre, Cork","Number","427"
"Total Population (Number)","2016","Balbradagh, Meath","Number","374"
"Total Population (Number)","2016","Balbriggan, Fingal","Number","21722"
"Total Population (Number)","2016","Balla, Mayo","Number","769"
"Total Population (Number)","2016","Ballaghaderreen, Roscommon","Number","1808"
"Total Population (Number)","2016","Ballina, Mayo","Number","10171"
"Total Population (Number)","2016","Ballina, North Tipperary","Number","2632"
"Total Population (Number)","2016","Ballinabrannagh, Carlow","Number","466"
"Total Population (Number)","2016","Ballinacarrow, Sligo","Number","202"
"Total Population (Number)","2016","Ballinaclash, Wicklow","Number","311"
"Total Population (Number)","2016","Ballinagar, Offaly","Number","453"
"Total Population (Number)","2016","Ballinagh, Cavan","Number","936"
"Total Population (Number)","2016","Ballinakill, Laois","Number","445"
"Total Population (Number)","2016","Ballinalack, Westmeath","Number","137"
"Total Population (Number)","2016","Ballinalee, Longford","Number","347"
"Total Population (Number)","2016","Ballinameen, Roscommon","Number","191"
"Total Population (Number)","2016","Ballinamore, Leitrim","Number","914"
"Total Population (Number)","2016","Ballinasloe, Galway","Number","6662"
"Total Population (Number)","2016","Ballincar, Sligo","Number","424"
"Total Population (Number)","2016","Ballinderreen, Galway","Number","483"
"Total Population (Number)","2016","Ballindine, Mayo","Number","349"
"Total Population (Number)","2016","Ballineen/Enniskean, Cork","Number","692"
