Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
01/08/2017,"APARTMENT 27, GALWAY BAY SEA VIEW APTS, SALTHILL",,Galway,"€90,575.00",No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/08/2017,"38A LR BEECHWOOD AVE, RANELAGH, DUBLIN 6",Dublin 6,Dublin,"€515,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/06/2010,"4 Ard na Greine, Lis na Dara, Dundalk",,Louth,"€305,785.12",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
18/12/2020,"1 CATHEDRAL VIEW COURT, OFF NEW ST, DUBLIN 8",Dublin 8,Dublin,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2019,"190 ARDMORE DR, ARTANE, DUBLIN 5",Dublin 5,Dublin,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/01/2018,"37 WOOD DALE CLOSE, BALLYCULLEN, DUBLIN 24",Dublin 24,Dublin,"€372,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/07/2020,"47 BRAMBLE RISE, KILLYNEBBER, CAVAN",,Cavan,"€119,000.00",No,Yes,New Dwelling house /Apartment,
02/05/2012,"Apartment 3, Castlepark Court, Dalkey",,Dublin,"€233,481.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/04/2010,"6  Glen Corrin, Watergrasshill",,Cork,"€298,347.10",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
17/10/2016,"COLLERAS, GOLEEN, CORK",,Cork,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2021,"BALLYDARTON, FENAGH, COUNTRY CARLOW",,Carlow,"€119,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/01/2014,"8 THE STRAND, CASTLECOVE, INNISCRONE",,Sligo,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2021,"8 ANNALLY COURT, LONGFORD TOWN, LONGFORD",,Longford,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2011,"24 Avenue Grove, The Avenue, Gorey",,Wexford,"€114,537.44",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
08/03/2016,"CORBALLY, KNOCKDOE, GALWAY",,Galway,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2019,"42 Cois Glaisin Walk, Cois Glaisin, Johnstown",,Meath,"€325,000.00",No,Yes,New Dwelling house /Apartment,
07/04/2016,"70 CHERRYWOOD DR, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/10/2017,"117 HUNTERS GREEN, POLLERTON, CARLOW",,Carlow,"€162,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2012,"48 Silken Vale, Maynooth",,Kildare,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/07/2019,"NICHOLASTOWN, TOGHER, DROGHEDA",,Louth,"€123,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/05/2019,"HARVEST, DROMINBOY LOWER, LISNAGRY",,Limerick,"€640,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/08/2016,"46 THORNFIELD SQ, CLONDALKIN, DUBLIN",Dublin 22,Dublin,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/03/2014,"AGHAVILLA, CARRIGALLEN, LEITRIM",,Leitrim,"€32,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2015,"No. 15 The Meadows, Cahereen Heights, Castleisland",,Kerry,"€60,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
20/12/2018,"1 ARDKEEN, DUNBAR ROAD, WICKLOW TOWN",,Wicklow,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/01/2012,"9 springfield orchard, victoria terrace, ennis",,Clare,"€63,500.00",No,No,Second-Hand Dwelling house /Apartment,
18/02/2019,"GARRAHA, WHIDDY ISLAND, BANTRY",,Cork,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2019,"ANNAHALE, DUNDALK RD, CASTLEBLANEY",,Monaghan,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/02/2017,"292 MONESS COTTAGES, SPEENOGE, BURT",,Donegal,"€73,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/08/2021,"3 WOODBROOK PARK, RIVERWOOD RD, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2019,"70 RATHBORNE COURT, ASHTOWN, DUBLIN 15",Dublin 15,Dublin,"€435,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2015,"340 TONLEGEE RD, RAHENY, DUBLIN 5",Dublin 5,Dublin,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2010,"APARTMENT 44 WATERSIDE DRIVE, WATESIDE SWORDS, MALAHIDE",,Dublin,"€195,555.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/09/2021,"STATION RD, CASTLETOWN GEOGHEGAN, CO WESTMEATH",,Westmeath,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2016,"38 An Riasc, Farnham Drive, Finglas",Dublin 11,Dublin,"€260,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/09/2011,"3 Hydro Court, Kilkee",,Clare,"€41,763.79",No,No,Second-Hand Dwelling house /Apartment,
11/05/2017,"APT 4, 1 JERVIS ST, DUBLIN 1",Dublin 1,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2011,"25 The Meadows, Point Road, Dundalk",,Louth,"€140,356.71",No,No,Second-Hand Dwelling house /Apartment,
11/06/2020,"5 CRAIKE HOUSE, FRANCIS ST, DUBLIN 8",Dublin 8,Dublin,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/03/2018,"2 ARD NA GREINE, TIVOLI RD, DUN LAOGHAIRE",,Dublin,"€861,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/06/2013,"33 Rivergrove, Oranmore",,Galway,"€139,100.00",No,No,Second-Hand Dwelling house /Apartment,
